name	craft	giTag	district	state	coordinates	significance	odopProduct	heritageNote	description	Address	Looms Available	Weaver / Owner
Artisan WES-107	Patachitra Painting	N/A	Pingla	West Bengal	[22.2642, 87.5843]	9	Patachitra Painting Specialty	Long hand-painted mythical story scrolls paired with oral ballad performances.	Master craft specialist creating premium Patachitra Painting. Registered generational family unit.	Artisan Cluster, Pingla, West Bengal	N/A	Artisan WES-107
Artisan WES-108	Shola Pith Craft	N/A	Nadia	West Bengal	[23.4700, 88.5500]	8	Shola Pith Craft Specialty	Fine sponge-wood architectural and bridal decorations carved from natural marshy plant stems.	Master craft specialist creating premium Shola Pith Craft. Registered generational family unit.	Artisan Cluster, Nadia, West Bengal	N/A	Artisan WES-108
Artisan WES-109	Kantha Embroidery	N/A	Bolpur	West Bengal	[23.6662, 87.6833]	9	Kantha Embroidery Specialty	Running stitch layouts transforming layered old cotton saris into micro quilts.	Master craft specialist creating premium Kantha Embroidery. Registered generational family unit.	Artisan Cluster, Bolpur, West Bengal	N/A	Artisan WES-109
Artisan WES-110	Dhokra Metal Craft	N/A	Bikna	West Bengal	[23.2500, 87.0800]	8	Dhokra Metal Craft Specialty	Non-ferrous cire-perdue lost-wax metal castings utilizing traditional soil core molds.	Master craft specialist creating premium Dhokra Metal Craft. Registered generational family unit.	Artisan Cluster, Bikna, West Bengal	N/A	Artisan WES-110
Artisan WES-111	Patachitra Painting	N/A	Pingla	West Bengal	[22.2642, 87.5843]	9	Patachitra Painting Specialty	Long hand-painted mythical story scrolls paired with oral ballad performances.	Master craft specialist creating premium Patachitra Painting. Registered generational family unit.	Artisan Cluster, Pingla, West Bengal	N/A	Artisan WES-111
Artisan WES-112	Shola Pith Craft	N/A	Nadia	West Bengal	[23.4700, 88.5500]	8	Shola Pith Craft Specialty	Fine sponge-wood architectural and bridal decorations carved from natural marshy plant stems.	Master craft specialist creating premium Shola Pith Craft. Registered generational family unit.	Artisan Cluster, Nadia, West Bengal	N/A	Artisan WES-112
Artisan WES-113	Kantha Embroidery	N/A	Bolpur	West Bengal	[23.6662, 87.6833]	9	Kantha Embroidery Specialty	Running stitch layouts transforming layered old cotton saris into micro quilts.	Master craft specialist creating premium Kantha Embroidery. Registered generational family unit.	Artisan Cluster, Bolpur, West Bengal	N/A	Artisan WES-113
Artisan WES-114	Dhokra Metal Craft	N/A	Bikna	West Bengal	[23.2500, 87.0800]	8	Dhokra Metal Craft Specialty	Non-ferrous cire-perdue lost-wax metal castings utilizing traditional soil core molds.	Master craft specialist creating premium Dhokra Metal Craft. Registered generational family unit.	Artisan Cluster, Bikna, West Bengal	N/A	Artisan WES-114
Artisan WES-115	Patachitra Painting	N/A	Pingla	West Bengal	[22.2642, 87.5843]	9	Patachitra Painting Specialty	Long hand-painted mythical story scrolls paired with oral ballad performances.	Master craft specialist creating premium Patachitra Painting. Registered generational family unit.	Artisan Cluster, Pingla, West Bengal	N/A	Artisan WES-115
Artisan ODI-101	Pattachitra Scrolls	N/A	Raghurajpur	Odisha	[19.8453, 85.8124]	9	Pattachitra Scrolls Specialty	Sacred scroll iconographs rendered on hard starch-hardened cotton fabric backings.	Master craft specialist creating premium Pattachitra Scrolls. Registered generational family unit.	Artisan Cluster, Raghurajpur, Odisha	N/A	Artisan ODI-101
Artisan ODI-102	Pipili Applique Work	N/A	Pipili	Odisha	[20.1143, 85.8342]	8	Pipili Applique Work Specialty	Bold colored fabric shapes stitched neatly onto umbrellas and awnings.	Master craft specialist creating premium Pipili Applique Work. Registered generational family unit.	Artisan Cluster, Pipili, Odisha	N/A	Artisan ODI-102
Artisan ODI-103	Silver Filigree Craft	N/A	Cuttack	Odisha	[20.4625, 85.8828]	9	Silver Filigree Craft Specialty	Delicate jewelry assemblies fashioned completely from fine drawn pure silver wire netting.	Master craft specialist creating premium Silver Filigree Craft. Registered generational family unit.	Artisan Cluster, Cuttack, Odisha	N/A	Artisan ODI-103
Artisan ODI-104	Pattachitra Scrolls	N/A	Raghurajpur	Odisha	[19.8453, 85.8124]	8	Pattachitra Scrolls Specialty	Sacred scroll iconographs rendered on hard starch-hardened cotton fabric backings.	Master craft specialist creating premium Pattachitra Scrolls. Registered generational family unit.	Artisan Cluster, Raghurajpur, Odisha	N/A	Artisan ODI-104
Artisan ODI-105	Pipili Applique Work	N/A	Pipili	Odisha	[20.1143, 85.8342]	9	Pipili Applique Work Specialty	Bold colored fabric shapes stitched neatly onto umbrellas and awnings.	Master craft specialist creating premium Pipili Applique Work. Registered generational family unit.	Artisan Cluster, Pipili, Odisha	N/A	Artisan ODI-105
Artisan ODI-106	Silver Filigree Craft	N/A	Cuttack	Odisha	[20.4625, 85.8828]	8	Silver Filigree Craft Specialty	Delicate jewelry assemblies fashioned completely from fine drawn pure silver wire netting.	Master craft specialist creating premium Silver Filigree Craft. Registered generational family unit.	Artisan Cluster, Cuttack, Odisha	N/A	Artisan ODI-106
Artisan ODI-107	Pattachitra Scrolls	N/A	Raghurajpur	Odisha	[19.8453, 85.8124]	9	Pattachitra Scrolls Specialty	Sacred scroll iconographs rendered on hard starch-hardened cotton fabric backings.	Master craft specialist creating premium Pattachitra Scrolls. Registered generational family unit.	Artisan Cluster, Raghurajpur, Odisha	N/A	Artisan ODI-107
Artisan ODI-108	Pipili Applique Work	N/A	Pipili	Odisha	[20.1143, 85.8342]	8	Pipili Applique Work Specialty	Bold colored fabric shapes stitched neatly onto umbrellas and awnings.	Master craft specialist creating premium Pipili Applique Work. Registered generational family unit.	Artisan Cluster, Pipili, Odisha	N/A	Artisan ODI-108
Artisan ODI-109	Silver Filigree Craft	N/A	Cuttack	Odisha	[20.4625, 85.8828]	9	Silver Filigree Craft Specialty	Delicate jewelry assemblies fashioned completely from fine drawn pure silver wire netting.	Master craft specialist creating premium Silver Filigree Craft. Registered generational family unit.	Artisan Cluster, Cuttack, Odisha	N/A	Artisan ODI-109
Artisan ODI-110	Pattachitra Scrolls	N/A	Raghurajpur	Odisha	[19.8453, 85.8124]	8	Pattachitra Scrolls Specialty	Sacred scroll iconographs rendered on hard starch-hardened cotton fabric backings.	Master craft specialist creating premium Pattachitra Scrolls. Registered generational family unit.	Artisan Cluster, Raghurajpur, Odisha	N/A	Artisan ODI-110
Artisan ODI-111	Pipili Applique Work	N/A	Pipili	Odisha	[20.1143, 85.8342]	9	Pipili Applique Work Specialty	Bold colored fabric shapes stitched neatly onto umbrellas and awnings.	Master craft specialist creating premium Pipili Applique Work. Registered generational family unit.	Artisan Cluster, Pipili, Odisha	N/A	Artisan ODI-111
Artisan ODI-112	Silver Filigree Craft	N/A	Cuttack	Odisha	[20.4625, 85.8828]	8	Silver Filigree Craft Specialty	Delicate jewelry assemblies fashioned completely from fine drawn pure silver wire netting.	Master craft specialist creating premium Silver Filigree Craft. Registered generational family unit.	Artisan Cluster, Cuttack, Odisha	N/A	Artisan ODI-112
Artisan ODI-113	Pattachitra Scrolls	N/A	Raghurajpur	Odisha	[19.8453, 85.8124]	9	Pattachitra Scrolls Specialty	Sacred scroll iconographs rendered on hard starch-hardened cotton fabric backings.	Master craft specialist creating premium Pattachitra Scrolls. Registered generational family unit.	Artisan Cluster, Raghurajpur, Odisha	N/A	Artisan ODI-113
Artisan ODI-114	Pipili Applique Work	N/A	Pipili	Odisha	[20.1143, 85.8342]	8	Pipili Applique Work Specialty	Bold colored fabric shapes stitched neatly onto umbrellas and awnings.	Master craft specialist creating premium Pipili Applique Work. Registered generational family unit.	Artisan Cluster, Pipili, Odisha	N/A	Artisan ODI-114
Artisan ODI-115	Silver Filigree Craft	N/A	Cuttack	Odisha	[20.4625, 85.8828]	9	Silver Filigree Craft Specialty	Delicate jewelry assemblies fashioned completely from fine drawn pure silver wire netting.	Master craft specialist creating premium Silver Filigree Craft. Registered generational family unit.	Artisan Cluster, Cuttack, Odisha	N/A	Artisan ODI-115
Artisan BIH-101	Madhubani Painting	N/A	Jitwarpur	Bihar	[26.3542, 86.1243]	9	Madhubani Painting Specialty	Intricate folklore paintings done using twigs, matchsticks, and pure plant colors.	Master craft specialist creating premium Madhubani Painting. Registered generational family unit.	Artisan Cluster, Jitwarpur, Bihar	N/A	Artisan BIH-101
Artisan BIH-102	Sujni Embroidery	N/A	Muzaffarpur	Bihar	[26.1214, 85.3942]	8	Sujni Embroidery Specialty	Narrative fine outline quilting stitchwork relaying social issues on fabrics.	Master craft specialist creating premium Sujni Embroidery. Registered generational family unit.	Artisan Cluster, Muzaffarpur, Bihar	N/A	Artisan BIH-102
Artisan BIH-103	Tikuli Sheet Art	N/A	Patna	Bihar	[25.6112, 85.1412]	9	Tikuli Sheet Art Specialty	Hand-painted micro-enamelled glass panel configurations traditionally used for bindis.	Master craft specialist creating premium Tikuli Sheet Art. Registered generational family unit.	Artisan Cluster, Patna, Bihar	N/A	Artisan BIH-103
Artisan BIH-104	Madhubani Painting	N/A	Jitwarpur	Bihar	[26.3542, 86.1243]	8	Madhubani Painting Specialty	Intricate folklore paintings done using twigs, matchsticks, and pure plant colors.	Master craft specialist creating premium Madhubani Painting. Registered generational family unit.	Artisan Cluster, Jitwarpur, Bihar	N/A	Artisan BIH-104
Artisan BIH-105	Sujni Embroidery	N/A	Muzaffarpur	Bihar	[26.1214, 85.3942]	9	Sujni Embroidery Specialty	Narrative fine outline quilting stitchwork relaying social issues on fabrics.	Master craft specialist creating premium Sujni Embroidery. Registered generational family unit.	Artisan Cluster, Muzaffarpur, Bihar	N/A	Artisan BIH-105
Artisan BIH-106	Tikuli Sheet Art	N/A	Patna	Bihar	[25.6112, 85.1412]	8	Tikuli Sheet Art Specialty	Hand-painted micro-enamelled glass panel configurations traditionally used for bindis.	Master craft specialist creating premium Tikuli Sheet Art. Registered generational family unit.	Artisan Cluster, Patna, Bihar	N/A	Artisan BIH-106
Artisan BIH-107	Madhubani Painting	N/A	Jitwarpur	Bihar	[26.3542, 86.1243]	9	Madhubani Painting Specialty	Intricate folklore paintings done using twigs, matchsticks, and pure plant colors.	Master craft specialist creating premium Madhubani Painting. Registered generational family unit.	Artisan Cluster, Jitwarpur, Bihar	N/A	Artisan BIH-107
Artisan BIH-108	Sujni Embroidery	N/A	Muzaffarpur	Bihar	[26.1214, 85.3942]	8	Sujni Embroidery Specialty	Narrative fine outline quilting stitchwork relaying social issues on fabrics.	Master craft specialist creating premium Sujni Embroidery. Registered generational family unit.	Artisan Cluster, Muzaffarpur, Bihar	N/A	Artisan BIH-108
Artisan BIH-109	Tikuli Sheet Art	N/A	Patna	Bihar	[25.6112, 85.1412]	9	Tikuli Sheet Art Specialty	Hand-painted micro-enamelled glass panel configurations traditionally used for bindis.	Master craft specialist creating premium Tikuli Sheet Art. Registered generational family unit.	Artisan Cluster, Patna, Bihar	N/A	Artisan BIH-109
Artisan BIH-110	Madhubani Painting	N/A	Jitwarpur	Bihar	[26.3542, 86.1243]	8	Madhubani Painting Specialty	Intricate folklore paintings done using twigs, matchsticks, and pure plant colors.	Master craft specialist creating premium Madhubani Painting. Registered generational family unit.	Artisan Cluster, Jitwarpur, Bihar	N/A	Artisan BIH-110
Artisan BIH-111	Sujni Embroidery	N/A	Muzaffarpur	Bihar	[26.1214, 85.3942]	9	Sujni Embroidery Specialty	Narrative fine outline quilting stitchwork relaying social issues on fabrics.	Master craft specialist creating premium Sujni Embroidery. Registered generational family unit.	Artisan Cluster, Muzaffarpur, Bihar	N/A	Artisan BIH-111
Artisan BIH-112	Tikuli Sheet Art	N/A	Patna	Bihar	[25.6112, 85.1412]	8	Tikuli Sheet Art Specialty	Hand-painted micro-enamelled glass panel configurations traditionally used for bindis.	Master craft specialist creating premium Tikuli Sheet Art. Registered generational family unit.	Artisan Cluster, Patna, Bihar	N/A	Artisan BIH-112
Artisan BIH-113	Madhubani Painting	N/A	Jitwarpur	Bihar	[26.3542, 86.1243]	9	Madhubani Painting Specialty	Intricate folklore paintings done using twigs, matchsticks, and pure plant colors.	Master craft specialist creating premium Madhubani Painting. Registered generational family unit.	Artisan Cluster, Jitwarpur, Bihar	N/A	Artisan BIH-113
Artisan BIH-114	Sujni Embroidery	N/A	Muzaffarpur	Bihar	[26.1214, 85.3942]	8	Sujni Embroidery Specialty	Narrative fine outline quilting stitchwork relaying social issues on fabrics.	Master craft specialist creating premium Sujni Embroidery. Registered generational family unit.	Artisan Cluster, Muzaffarpur, Bihar	N/A	Artisan BIH-114
Artisan BIH-115	Tikuli Sheet Art	N/A	Patna	Bihar	[25.6112, 85.1412]	9	Tikuli Sheet Art Specialty	Hand-painted micro-enamelled glass panel configurations traditionally used for bindis.	Master craft specialist creating premium Tikuli Sheet Art. Registered generational family unit.	Artisan Cluster, Patna, Bihar	N/A	Artisan BIH-115
Artisan JHA-101	Handloom Textile	N/A	Central District	Jharkhand	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Jharkhand	N/A	Artisan JHA-101
Artisan JHA-102	Terracotta Clay Art	N/A	East District	Jharkhand	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Jharkhand	N/A	Artisan JHA-102
Artisan JHA-103	Bamboo Basketry	N/A	North District	Jharkhand	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Jharkhand	N/A	Artisan JHA-103
Artisan JHA-104	Handloom Textile	N/A	Central District	Jharkhand	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Jharkhand	N/A	Artisan JHA-104
Artisan JHA-105	Terracotta Clay Art	N/A	East District	Jharkhand	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Jharkhand	N/A	Artisan JHA-105
Artisan JHA-106	Bamboo Basketry	N/A	North District	Jharkhand	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Jharkhand	N/A	Artisan JHA-106
Artisan JHA-107	Handloom Textile	N/A	Central District	Jharkhand	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Jharkhand	N/A	Artisan JHA-107
Artisan JHA-108	Terracotta Clay Art	N/A	East District	Jharkhand	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Jharkhand	N/A	Artisan JHA-108
Artisan JHA-109	Bamboo Basketry	N/A	North District	Jharkhand	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Jharkhand	N/A	Artisan JHA-109
Artisan JHA-110	Handloom Textile	N/A	Central District	Jharkhand	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Jharkhand	N/A	Artisan JHA-110
Artisan JHA-111	Terracotta Clay Art	N/A	East District	Jharkhand	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Jharkhand	N/A	Artisan JHA-111
Artisan JHA-112	Bamboo Basketry	N/A	North District	Jharkhand	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Jharkhand	N/A	Artisan JHA-112
Artisan JHA-113	Handloom Textile	N/A	Central District	Jharkhand	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Jharkhand	N/A	Artisan JHA-113
Artisan JHA-114	Terracotta Clay Art	N/A	East District	Jharkhand	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Jharkhand	N/A	Artisan JHA-114
Artisan JHA-115	Bamboo Basketry	N/A	North District	Jharkhand	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Jharkhand	N/A	Artisan JHA-115
Artisan MAD-101	Chanderi Weaving	N/A	Ashoknagar	Madhya Pradesh	[24.7121, 78.1342]	9	Chanderi Weaving Specialty	Lightweight transparent tissue textiles blended with pure gold threads.	Master craft specialist creating premium Chanderi Weaving. Registered generational family unit.	Artisan Cluster, Ashoknagar, Madhya Pradesh	2	Artisan MAD-101
Artisan MAD-102	Maheshwari Silk	N/A	Khargone	Madhya Pradesh	[22.1764, 75.5842]	8	Maheshwari Silk Specialty	Linear geometric borders inspired by Maheshwar fortress temple carvings.	Master craft specialist creating premium Maheshwari Silk. Registered generational family unit.	Artisan Cluster, Khargone, Madhya Pradesh	2	Artisan MAD-102
Artisan MAD-103	Bagh Block Prints	N/A	Dhar	Madhya Pradesh	[22.3670, 74.7970]	9	Bagh Block Prints Specialty	Traditional red and black vegetable color blocks stamped on flowing cotton backdrops.	Master craft specialist creating premium Bagh Block Prints. Registered generational family unit.	Artisan Cluster, Dhar, Madhya Pradesh	N/A	Artisan MAD-103
Artisan MAD-104	Chanderi Weaving	N/A	Ashoknagar	Madhya Pradesh	[24.7121, 78.1342]	8	Chanderi Weaving Specialty	Lightweight transparent tissue textiles blended with pure gold threads.	Master craft specialist creating premium Chanderi Weaving. Registered generational family unit.	Artisan Cluster, Ashoknagar, Madhya Pradesh	2	Artisan MAD-104
Artisan MAD-105	Maheshwari Silk	N/A	Khargone	Madhya Pradesh	[22.1764, 75.5842]	9	Maheshwari Silk Specialty	Linear geometric borders inspired by Maheshwar fortress temple carvings.	Master craft specialist creating premium Maheshwari Silk. Registered generational family unit.	Artisan Cluster, Khargone, Madhya Pradesh	2	Artisan MAD-105
Artisan MAD-106	Bagh Block Prints	N/A	Dhar	Madhya Pradesh	[22.3670, 74.7970]	8	Bagh Block Prints Specialty	Traditional red and black vegetable color blocks stamped on flowing cotton backdrops.	Master craft specialist creating premium Bagh Block Prints. Registered generational family unit.	Artisan Cluster, Dhar, Madhya Pradesh	N/A	Artisan MAD-106
Artisan MAD-107	Chanderi Weaving	N/A	Ashoknagar	Madhya Pradesh	[24.7121, 78.1342]	9	Chanderi Weaving Specialty	Lightweight transparent tissue textiles blended with pure gold threads.	Master craft specialist creating premium Chanderi Weaving. Registered generational family unit.	Artisan Cluster, Ashoknagar, Madhya Pradesh	2	Artisan MAD-107
Artisan MAD-108	Maheshwari Silk	N/A	Khargone	Madhya Pradesh	[22.1764, 75.5842]	8	Maheshwari Silk Specialty	Linear geometric borders inspired by Maheshwar fortress temple carvings.	Master craft specialist creating premium Maheshwari Silk. Registered generational family unit.	Artisan Cluster, Khargone, Madhya Pradesh	2	Artisan MAD-108
Artisan MAD-109	Bagh Block Prints	N/A	Dhar	Madhya Pradesh	[22.3670, 74.7970]	9	Bagh Block Prints Specialty	Traditional red and black vegetable color blocks stamped on flowing cotton backdrops.	Master craft specialist creating premium Bagh Block Prints. Registered generational family unit.	Artisan Cluster, Dhar, Madhya Pradesh	N/A	Artisan MAD-109
Artisan MAD-110	Chanderi Weaving	N/A	Ashoknagar	Madhya Pradesh	[24.7121, 78.1342]	8	Chanderi Weaving Specialty	Lightweight transparent tissue textiles blended with pure gold threads.	Master craft specialist creating premium Chanderi Weaving. Registered generational family unit.	Artisan Cluster, Ashoknagar, Madhya Pradesh	2	Artisan MAD-110
Artisan MAD-111	Maheshwari Silk	N/A	Khargone	Madhya Pradesh	[22.1764, 75.5842]	9	Maheshwari Silk Specialty	Linear geometric borders inspired by Maheshwar fortress temple carvings.	Master craft specialist creating premium Maheshwari Silk. Registered generational family unit.	Artisan Cluster, Khargone, Madhya Pradesh	2	Artisan MAD-111
Artisan MAD-112	Bagh Block Prints	N/A	Dhar	Madhya Pradesh	[22.3670, 74.7970]	8	Bagh Block Prints Specialty	Traditional red and black vegetable color blocks stamped on flowing cotton backdrops.	Master craft specialist creating premium Bagh Block Prints. Registered generational family unit.	Artisan Cluster, Dhar, Madhya Pradesh	N/A	Artisan MAD-112
Artisan MAD-113	Chanderi Weaving	N/A	Ashoknagar	Madhya Pradesh	[24.7121, 78.1342]	9	Chanderi Weaving Specialty	Lightweight transparent tissue textiles blended with pure gold threads.	Master craft specialist creating premium Chanderi Weaving. Registered generational family unit.	Artisan Cluster, Ashoknagar, Madhya Pradesh	2	Artisan MAD-113
Artisan MAD-114	Maheshwari Silk	N/A	Khargone	Madhya Pradesh	[22.1764, 75.5842]	8	Maheshwari Silk Specialty	Linear geometric borders inspired by Maheshwar fortress temple carvings.	Master craft specialist creating premium Maheshwari Silk. Registered generational family unit.	Artisan Cluster, Khargone, Madhya Pradesh	2	Artisan MAD-114
Artisan MAD-115	Bagh Block Prints	N/A	Dhar	Madhya Pradesh	[22.3670, 74.7970]	9	Bagh Block Prints Specialty	Traditional red and black vegetable color blocks stamped on flowing cotton backdrops.	Master craft specialist creating premium Bagh Block Prints. Registered generational family unit.	Artisan Cluster, Dhar, Madhya Pradesh	N/A	Artisan MAD-115
Artisan CHH-101	Handloom Textile	N/A	Central District	Chhattisgarh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Chhattisgarh	N/A	Artisan CHH-101
Artisan CHH-102	Terracotta Clay Art	N/A	East District	Chhattisgarh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Chhattisgarh	N/A	Artisan CHH-102
Artisan CHH-103	Bamboo Basketry	N/A	North District	Chhattisgarh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Chhattisgarh	N/A	Artisan CHH-103
Artisan CHH-104	Handloom Textile	N/A	Central District	Chhattisgarh	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Chhattisgarh	N/A	Artisan CHH-104
Artisan CHH-105	Terracotta Clay Art	N/A	East District	Chhattisgarh	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Chhattisgarh	N/A	Artisan CHH-105
Artisan CHH-106	Bamboo Basketry	N/A	North District	Chhattisgarh	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Chhattisgarh	N/A	Artisan CHH-106
Artisan CHH-107	Handloom Textile	N/A	Central District	Chhattisgarh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Chhattisgarh	N/A	Artisan CHH-107
Artisan CHH-108	Terracotta Clay Art	N/A	East District	Chhattisgarh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Chhattisgarh	N/A	Artisan CHH-108
Artisan CHH-109	Bamboo Basketry	N/A	North District	Chhattisgarh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Chhattisgarh	N/A	Artisan CHH-109
Artisan CHH-110	Handloom Textile	N/A	Central District	Chhattisgarh	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Chhattisgarh	N/A	Artisan CHH-110
Artisan CHH-111	Terracotta Clay Art	N/A	East District	Chhattisgarh	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Chhattisgarh	N/A	Artisan CHH-111
Artisan CHH-112	Bamboo Basketry	N/A	North District	Chhattisgarh	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Chhattisgarh	N/A	Artisan CHH-112
Artisan CHH-113	Handloom Textile	N/A	Central District	Chhattisgarh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Chhattisgarh	N/A	Artisan CHH-113
Artisan CHH-114	Terracotta Clay Art	N/A	East District	Chhattisgarh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Chhattisgarh	N/A	Artisan CHH-114
Artisan CHH-115	Bamboo Basketry	N/A	North District	Chhattisgarh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Chhattisgarh	N/A	Artisan CHH-115
Artisan ASS-101	Muga Golden Silk	N/A	Sualkuchi	Assam	[26.2643, 91.5742]	9	Muga Golden Silk Specialty	Shining golden silk spun from endemic Antheraea assamensis silkworms.	Master craft specialist creating premium Muga Golden Silk. Registered generational family unit.	Artisan Cluster, Sualkuchi, Assam	2	Artisan ASS-101
Artisan ASS-102	Eri Peace Silk	N/A	Kamrup	Assam	[26.1424, 91.6421]	8	Eri Peace Silk Specialty	Thermal warm silk spun without killing the moth pupae inside the cocoons.	Master craft specialist creating premium Eri Peace Silk. Registered generational family unit.	Artisan Cluster, Kamrup, Assam	2	Artisan ASS-102
Artisan ASS-103	Cane & Bamboo Craft	N/A	Barpeta	Assam	[26.3214, 91.0042]	9	Cane & Bamboo Craft Specialty	Sturdy lightweight furniture pieces hand-split from native sub-tropical bamboo canes.	Master craft specialist creating premium Cane & Bamboo Craft. Registered generational family unit.	Artisan Cluster, Barpeta, Assam	N/A	Artisan ASS-103
Artisan ASS-104	Muga Golden Silk	N/A	Sualkuchi	Assam	[26.2643, 91.5742]	8	Muga Golden Silk Specialty	Shining golden silk spun from endemic Antheraea assamensis silkworms.	Master craft specialist creating premium Muga Golden Silk. Registered generational family unit.	Artisan Cluster, Sualkuchi, Assam	2	Artisan ASS-104
